datetime,lat,lon,max_wind_mph,category,label
2024-09-26 12:00,26.5,-85.0,100,2,Gulf of Mexico
2024-09-26 18:00,28.0,-84.5,120,3,"Approaching Big Bend, FL"
2024-09-27 00:00,29.3,-84.05,140,4,"Peak intensity, offshore"
2024-09-27 03:10,30.06,-83.83,140,4,"Landfall near Perry, FL"
2024-09-27 05:00,30.9,-83.4,100,2,Crossing into Georgia
2024-09-27 09:00,32.0,-83.0,70,1,East-central Georgia
2024-09-27 15:00,33.8,-82.7,55,0,Georgia / South Carolina border
2024-09-27 21:00,35.6,-82.55,45,0,"Asheville, NC area"
2024-09-28 00:00,36.3,-84.0,40,0,Southern Kentucky / East Tennessee
2024-09-28 18:00,36.0,-86.5,25,0,"Dissipated, north-central Tennessee"
