storm_id,asset_id,failed,max_wind_experienced_mph,storm_surge_exposure,age_years,years_since_inspection,prior_outage_count,vegetation_density,flood_zone,distance_to_coast_km
HIST-001,SGW-001,0,33.149808473778386,0.0,6,0,2,0.35,1,11
HIST-001,SGW-002,0,35.31426924860839,0.0,22,1,3,0.53,0,1
HIST-001,SGW-003,0,34.487772995366456,0.0,34,3,1,0.33,1,10
HIST-001,SGW-004,0,34.814920693876616,0.0,21,1,1,0.45,1,10
HIST-001,SGW-005,0,33.70015194400213,0.0,24,0,0,0.22,1,1
HIST-001,SGW-006,0,40.87552664302708,0.0,37,0,1,0.42,0,131
HIST-001,SGW-007,0,40.12293285448257,0.0,8,2,1,0.4,1,144
HIST-001,SGW-008,0,39.91834772671388,0.0,24,1,0,0.44,0,127
HIST-001,SGW-009,0,40.5104433166318,0.0,22,3,0,0.31,0,123
HIST-001,SGW-010,0,40.26650320862149,0.0,22,2,2,0.3,0,153
HIST-001,SGW-011,0,49.556971667204685,0.0,10,0,2,0.5,1,230
HIST-001,SGW-012,0,47.37213677574376,0.0,31,3,1,0.31,1,241
HIST-001,SGW-013,0,71.3882747337598,0.0,31,1,2,0.33,0,233
HIST-001,SGW-014,0,65.28581924800905,0.0,44,2,2,0.33,0,241
HIST-001,SGW-015,0,62.10269969240157,0.0,7,0,1,0.57,1,241
HIST-001,SGW-016,0,52.0106166836457,0.0,5,0,0,0.72,0,262
HIST-001,SGW-017,0,56.62149300848305,0.0,21,0,0,0.51,0,270
HIST-001,SGW-018,1,61.496203972364206,0.0,40,2,0,0.57,0,280
HIST-001,SGW-019,0,53.81416915043742,0.0,44,0,2,0.51,0,288
HIST-001,SGW-020,0,62.499577572511164,0.0,30,0,0,0.39,0,269
HIST-001,SGW-021,0,43.21283401515713,0.0,7,1,0,0.46,0,359
HIST-001,SGW-022,0,42.140340163752086,0.0,11,0,0,0.77,1,329
HIST-001,SGW-023,0,42.30216252961294,0.0,11,0,1,0.67,0,330
HIST-001,SGW-024,0,41.247058831146255,0.0,12,1,0,0.48,0,334
HIST-001,SGW-025,0,39.98333142093682,0.0,13,3,0,0.61,0,305
HIST-001,SGW-026,0,36.3242066342828,0.0,5,0,0,1.0,1,397
HIST-001,SGW-027,0,38.05169288742208,0.0,37,2,4,0.76,1,389
HIST-001,SGW-028,0,36.53058359026918,0.0,30,1,1,0.57,0,406
HIST-001,SGW-029,0,37.90167198069249,0.0,34,0,1,0.92,0,403
HIST-001,SGW-030,0,35.7058381096988,0.0,13,1,0,0.97,0,395
HIST-002,SGW-001,0,71.60818286650795,0.29,6,0,2,0.35,1,11
HIST-002,SGW-002,1,70.3276507237114,0.39,22,1,3,0.53,0,1
HIST-002,SGW-003,1,75.49506599018348,0.30000000000000004,34,3,1,0.33,1,10
HIST-002,SGW-004,0,67.66996824703527,0.30000000000000004,21,1,1,0.45,1,10
HIST-002,SGW-005,0,72.88396668396413,0.39,24,0,0,0.22,1,1
HIST-002,SGW-006,0,53.28684481219245,0.0,37,0,1,0.42,0,131
HIST-002,SGW-007,0,55.09369212037738,0.0,8,2,1,0.4,1,144
HIST-002,SGW-008,0,55.702961665292406,0.0,24,1,0,0.44,0,127
HIST-002,SGW-009,0,53.83059689122484,0.0,22,3,0,0.31,0,123
HIST-002,SGW-010,0,54.61799644925051,0.0,22,2,2,0.3,0,153
HIST-002,SGW-011,0,33.123443131642794,0.0,10,0,2,0.5,1,230
HIST-002,SGW-012,0,32.691926520251904,0.0,31,3,1,0.31,1,241
HIST-002,SGW-013,0,34.18023563550345,0.0,31,1,2,0.33,0,233
HIST-002,SGW-014,0,34.24823177380296,0.0,44,2,2,0.33,0,241
HIST-002,SGW-015,0,33.21914148416202,0.0,7,0,1,0.57,1,241
HIST-002,SGW-016,0,30.586933043548836,0.0,5,0,0,0.72,0,262
HIST-002,SGW-017,0,30.23880472097654,0.0,21,0,0,0.51,0,270
HIST-002,SGW-018,0,30.964447234027475,0.0,40,2,0,0.57,0,280
HIST-002,SGW-019,0,29.144233143255843,0.0,44,0,2,0.51,0,288
HIST-002,SGW-020,0,30.383039788187375,0.0,30,0,0,0.39,0,269
HIST-002,SGW-021,0,26.13820159754415,0.0,7,1,0,0.46,0,359
HIST-002,SGW-022,0,25.997358805522257,0.0,11,0,0,0.77,1,329
HIST-002,SGW-023,0,25.975522474345457,0.0,11,0,1,0.67,0,330
HIST-002,SGW-024,0,25.72382623656583,0.0,12,1,0,0.48,0,334
HIST-002,SGW-025,0,25.434987786861026,0.0,13,3,0,0.61,0,305
HIST-002,SGW-026,0,24.28233483394552,0.0,5,0,0,1.0,1,397
HIST-002,SGW-027,0,24.763677378167646,0.0,37,2,4,0.76,1,389
HIST-002,SGW-028,0,24.384722164441534,0.0,30,1,1,0.57,0,406
HIST-002,SGW-029,0,24.736836384965823,0.0,34,0,1,0.92,0,403
HIST-002,SGW-030,0,24.147578645670052,0.0,13,1,0,0.97,0,395
HIST-003,SGW-001,0,56.11019644410296,0.145,6,0,2,0.35,1,11
HIST-003,SGW-002,1,63.81069751140437,0.195,22,1,3,0.53,0,1
HIST-003,SGW-003,0,62.90273377711871,0.15000000000000002,34,3,1,0.33,1,10
HIST-003,SGW-004,1,59.26528254008265,0.15000000000000002,21,1,1,0.45,1,10
HIST-003,SGW-005,0,56.273064105269754,0.195,24,0,0,0.22,1,1
HIST-003,SGW-006,0,43.06405332018481,0.0,37,0,1,0.42,0,131
HIST-003,SGW-007,0,43.10736705851742,0.0,8,2,1,0.4,1,144
HIST-003,SGW-008,0,43.651483162995774,0.0,24,1,0,0.44,0,127
HIST-003,SGW-009,0,48.08017220738535,0.0,22,3,0,0.31,0,123
HIST-003,SGW-010,1,46.9687282579185,0.0,22,2,2,0.3,0,153
HIST-003,SGW-011,0,36.13767189416559,0.0,10,0,2,0.5,1,230
HIST-003,SGW-012,0,35.46753219846963,0.0,31,3,1,0.31,1,241
HIST-003,SGW-013,0,37.599424433866666,0.0,31,1,2,0.33,0,233
HIST-003,SGW-014,0,37.932116569440105,0.0,44,2,2,0.33,0,241
HIST-003,SGW-015,0,36.228221835517026,0.0,7,0,1,0.57,1,241
HIST-003,SGW-016,0,31.871248591531952,0.0,5,0,0,0.72,0,262
HIST-003,SGW-017,0,31.563499135123205,0.0,21,0,0,0.51,0,270
HIST-003,SGW-018,0,32.62110704611942,0.0,40,2,0,0.57,0,280
HIST-003,SGW-019,0,30.12255738656549,0.0,44,0,2,0.51,0,288
HIST-003,SGW-020,0,31.8629627115752,0.0,30,0,0,0.39,0,269
HIST-003,SGW-021,0,26.351983263173263,0.0,7,1,0,0.46,0,359
HIST-003,SGW-022,0,26.158867158421,0.0,11,0,0,0.77,1,329
HIST-003,SGW-023,0,26.141927977215282,0.0,11,0,1,0.67,0,330
HIST-003,SGW-024,0,25.83040099348015,0.0,12,1,0,0.48,0,334
HIST-003,SGW-025,0,25.4704833063695,0.0,13,3,0,0.61,0,305
HIST-003,SGW-026,0,24.104426221195492,0.0,5,0,0,1.0,1,397
HIST-003,SGW-027,0,24.683455166017715,0.0,37,2,4,0.76,1,389
HIST-003,SGW-028,0,24.21868652746155,0.0,30,1,1,0.57,0,406
HIST-003,SGW-029,0,24.648442522083727,0.0,34,0,1,0.92,0,403
HIST-003,SGW-030,0,23.93423165058665,0.0,13,1,0,0.97,0,395
HIST-004,SGW-001,0,23.840999074127275,0.0,6,0,2,0.35,1,11
HIST-004,SGW-002,0,24.62183819989745,0.0,22,1,3,0.53,0,1
HIST-004,SGW-003,0,24.33548590738522,0.0,34,3,1,0.33,1,10
HIST-004,SGW-004,0,24.37162604844091,0.0,21,1,1,0.45,1,10
HIST-004,SGW-005,1,24.065324963663503,0.0,24,0,0,0.22,1,1
HIST-004,SGW-006,0,26.251325589780937,0.0,37,0,1,0.42,0,131
HIST-004,SGW-007,0,26.04840024430978,0.0,8,2,1,0.4,1,144
HIST-004,SGW-008,0,25.990769649846122,0.0,24,1,0,0.44,0,127
HIST-004,SGW-009,0,26.16086086139839,0.0,22,3,0,0.31,0,123
HIST-004,SGW-010,0,26.090040655079363,0.0,22,2,2,0.3,0,153
HIST-004,SGW-011,0,33.488381293919275,0.0,10,0,2,0.5,1,230
HIST-004,SGW-012,0,33.96895343711142,0.0,31,3,1,0.31,1,241
HIST-004,SGW-013,0,32.01425677590049,0.0,31,1,2,0.33,0,233
HIST-004,SGW-014,0,32.39234241489642,0.0,44,2,2,0.33,0,241
HIST-004,SGW-015,0,33.21865141735464,0.0,7,0,1,0.57,1,241
HIST-004,SGW-016,0,33.75886749868987,0.0,5,0,0,0.72,0,262
HIST-004,SGW-017,0,35.25656945005447,0.0,21,0,0,0.51,0,270
HIST-004,SGW-018,0,34.66515127001641,0.0,40,2,0,0.57,0,280
HIST-004,SGW-019,0,37.272472961369196,0.0,44,0,2,0.51,0,288
HIST-004,SGW-020,0,35.82277674622248,0.0,30,0,0,0.39,0,269
HIST-004,SGW-021,0,50.246716568283894,0.0,7,1,0,0.46,0,359
HIST-004,SGW-022,0,49.0780079006187,0.0,11,0,0,0.77,1,329
HIST-004,SGW-023,0,50.26851345644903,0.0,11,0,1,0.67,0,330
HIST-004,SGW-024,0,51.581799160913384,0.0,12,1,0,0.48,0,334
HIST-004,SGW-025,0,52.327468244023144,0.0,13,3,0,0.61,0,305
HIST-004,SGW-026,0,69.21642621930867,0.0,5,0,0,1.0,1,397
HIST-004,SGW-027,1,65.67023716503628,0.0,37,2,4,0.76,1,389
HIST-004,SGW-028,0,63.31346538451914,0.0,30,1,1,0.57,0,406
HIST-004,SGW-029,0,64.49502678633492,0.0,34,0,1,0.92,0,403
HIST-004,SGW-030,0,63.14882981055663,0.0,13,1,0,0.97,0,395
HIST-005,SGW-001,1,47.81566362779213,0.0,6,0,2,0.35,1,11
HIST-005,SGW-002,0,55.9609121123467,0.195,22,1,3,0.53,0,1
HIST-005,SGW-003,0,52.4941147676137,0.15000000000000002,34,3,1,0.33,1,10
HIST-005,SGW-004,0,51.16324902767494,0.15000000000000002,21,1,1,0.45,1,10
HIST-005,SGW-005,0,48.65233606917877,0.0,24,0,0,0.22,1,1
HIST-005,SGW-006,0,43.07158435561378,0.0,37,0,1,0.42,0,131
HIST-005,SGW-007,0,43.09963504488957,0.0,8,2,1,0.4,1,144
HIST-005,SGW-008,0,43.638402122374686,0.0,24,1,0,0.44,0,127
HIST-005,SGW-009,0,48.08118191743832,0.0,22,3,0,0.31,0,123
HIST-005,SGW-010,0,46.9612003519571,0.0,22,2,2,0.3,0,153
HIST-005,SGW-011,0,39.62967033210245,0.0,10,0,2,0.5,1,230
HIST-005,SGW-012,0,38.75509155973328,0.0,31,3,1,0.31,1,241
HIST-005,SGW-013,0,41.362630936563676,0.0,31,1,2,0.33,0,233
HIST-005,SGW-014,0,42.011670941866115,0.0,44,2,2,0.33,0,241
HIST-005,SGW-015,0,39.696707774461885,0.0,7,0,1,0.57,1,241
HIST-005,SGW-016,0,33.880343853135344,0.0,5,0,0,0.72,0,262
HIST-005,SGW-017,0,33.62846288523727,0.0,21,0,0,0.51,0,270
HIST-005,SGW-018,0,34.941513410574515,0.0,40,2,0,0.57,0,280
HIST-005,SGW-019,1,31.937098349680536,0.0,44,0,2,0.51,0,288
HIST-005,SGW-020,0,34.059866754683846,0.0,30,0,0,0.39,0,269
HIST-005,SGW-021,0,27.601332419215524,0.0,7,1,0,0.46,0,359
HIST-005,SGW-022,0,27.369227360569397,0.0,11,0,0,0.77,1,329
HIST-005,SGW-023,0,27.355714739948475,0.0,11,0,1,0.67,0,330
HIST-005,SGW-024,0,26.999052422718375,0.0,12,1,0,0.48,0,334
HIST-005,SGW-025,0,26.585653001070398,0.0,13,3,0,0.61,0,305
HIST-005,SGW-026,0,25.054800074262047,0.0,5,0,0,1.0,1,397
HIST-005,SGW-027,0,25.708760656115103,0.0,37,2,4,0.76,1,389
HIST-005,SGW-028,0,25.178990186863018,0.0,30,1,1,0.57,0,406
HIST-005,SGW-029,0,25.66769721254623,0.0,34,0,1,0.92,0,403
HIST-005,SGW-030,0,24.858272928635362,0.0,13,1,0,0.97,0,395
